Rows: 3376

formula     | ehull| hform|Epbx_0_HER|Epbx_0_OER|Epbx_7_HER|Epbx_7_OER|Epbx_14_HER|Epbx_14_OER

In10F11     | 0.049|-1.796|     0.859|     1.971|     0.865|     1.978|      1.081|      2.193
Al4Se6      | 0.024|-0.833|     1.315|     4.718|     1.360|     4.636|      1.608|      5.123
Co2Se3      | 0.046|-0.255|     0.119|     3.201|     0.046|     3.262|      0.234|      3.749
Hg10F4      | 0.050|-0.699|     0.352|     0.905|     0.354|     0.910|      0.473|      1.026
Ag6Br6      | 0.012|-0.336|     0.381|     0.219|     0.587|     0.428|      0.795|      0.633
Ag3Cl3      | 0.012|-0.426|     0.431|     0.598|     0.638|     0.606|      0.845|      0.684
Ag3F3       | 0.012|-1.002|     0.838|     0.676|     0.842|     0.682|      1.049|      0.887
Ag6I6       | 0.026|-0.243|     0.204|     1.039|     0.410|     1.048|      0.618|      1.040
Cu8Br8      | 0.033|-0.271|     0.445|     0.897|     0.652|     0.852|      0.859|      1.058
Li4Br4      | 0.023|-1.542|     0.868|     0.868|     0.912|     0.919|      1.119|      1.122
Li2Cl2      | 0.030|-1.806|     0.746|     0.960|     0.789|     0.969|      0.996|      0.999
K6F6        | 0.036|-2.767|     0.714|     0.714|     0.512|     0.585|      0.621|      0.788
Sn4O4       | 0.045|-1.258|     0.338|     1.567|     0.339|     1.569|      0.338|      1.567
Cd4Cl8      | 0.038|-1.079|     0.451|     0.601|     0.620|     0.620|      0.896|      0.896
In4Cl8      | 0.010|-1.030|     0.623|     1.183|     0.900|     1.310|      1.176|      1.585
Tl4O2       | 0.000|-0.586|     0.542|     0.990|     0.542|     0.992|      0.542|      0.990
Tl4S2       | 0.034|-0.317|     0.390|     3.406|     0.390|     3.597|      0.528|      3.866
Hf2I4Se4    | 0.004|-0.870|     0.836|     3.411|     1.126|     3.456|      1.458|      3.778
Y2Cl4S4     | 0.044|-1.568|     0.867|     3.284|     0.876|     3.446|      1.208|      3.938
